user_id,product_id,rating,rating_count,category,product_name,img_link,about_product,tags
143,450,4.0,"14,283","Electronics,Mobiles&Accessories,MobileAccessories,Chargers,AutomobileChargers","pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41LZP1CmYRL._SX300_SY300_QL70_FMwebp_.jpg,"ptron, bullet, pro, 36w, charging, power, car, charger, passed, rigorous, test, usb, compliance, standard, fast, safe, provides, best, possible, quick, charging, quick, charge, technology, charges, enabled, smartphones, 80, percent, faster, 4x, faster, standard, chargers, usb, c, micro, usb, cable, cables, charge, 3, devices, simultaneously, features, 2, usb, ports, 1, type, c, port, 36w, device, output, charge, smartphones, tablets, built, usb, type, c, port, power, delivery, pd, charge, usb, c, compatible, devices, speed, travel, ready, car, outlet, built, smart, ic, chip, ensures, complete, protection, devices, including, heating, current, high, temperature, protection, short, circuit, compact, lightweight, build, quality, easily, carried, pocket, purse, compatibility, usb, c, usb, powered, devices, including, phones, tablets, dash, cams, etc","ptron, bullet, pro, 36w, charging, power, car, charger, passed, rigorous, test, usb, compliance, standard, fast, safe, provides, best, possible, quick, charging, quick, charge, technology, charges, enabled, smartphones, 80, percent, faster, 4x, faster, standard, chargers, usb, c, micro, usb, cable, cables, charge, 3, devices, simultaneously, features, 2, usb, ports, 1, type, c, port, 36w, device, output, charge, smartphones, tablets, built, usb, type, c, port, power, delivery, pd, charge, usb, c, compatible, devices, speed, travel, ready, car, outlet, built, smart, ic, chip, ensures, complete, protection, devices, including, heating, current, high, temperature, protection, short, circuit, compact, lightweight, build, quality, easily, carried, pocket, purse, compatibility, usb, c, usb, powered, devices, including, phones, tablets, dash, cams, etc, Electronics,Mobiles&Accessories,MobileAccessories,Chargers,AutomobileChargers"
415,584,4.3,"10,833","Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers","LIRAMARK Webcam Cover Slide, Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet (Pack of 3)",https://m.media-amazon.com/images/I/41PeQz-jDSL._SX300_SY300_QL70_ML2_.jpg,"cool, gadget, protection, possible, video, surveillance, hackers, webcam, cover, slide, easily, slides, camera, ensuring, wo, surveillance, tool, thin, super, thin, design, perfect, curve, edges, extra, mini, size, means, perfectly, combine, devices, webcam, cover, inches, thick, feel, existence, laptop, lid, design, webcam, cover, compatible, laptop, computer, smartphones, ipad, iphone, macbook, macbook, pro, tablets, pc, ps4, desktops, pieces, package, meet, cameras, sturdy, adhesive, solid, durable, strong, nano, gel, provides, durable, reliable, connection, devices, webcam, cover, adhesive, easily, applied, removed, device, install, use, dry, cloth, clean, surface, device, webcam, remove, 3, m, adhesive, tape, camera, cover, slide, align, lens, attach, protective, cover, lens, firmly, press, 15, seconds, achieve, strong, non, permanent, seal","cool, gadget, protection, possible, video, surveillance, hackers, webcam, cover, slide, easily, slides, camera, ensuring, wo, surveillance, tool, thin, super, thin, design, perfect, curve, edges, extra, mini, size, means, perfectly, combine, devices, webcam, cover, inches, thick, feel, existence, laptop, lid, design, webcam, cover, compatible, laptop, computer, smartphones, ipad, iphone, macbook, macbook, pro, tablets, pc, ps4, desktops, pieces, package, meet, cameras, sturdy, adhesive, solid, durable, strong, nano, gel, provides, durable, reliable, connection, devices, webcam, cover, adhesive, easily, applied, removed, device, install, use, dry, cloth, clean, surface, device, webcam, remove, 3, m, adhesive, tape, camera, cover, slide, align, lens, attach, protective, cover, lens, firmly, press, 15, seconds, achieve, strong, non, permanent, seal, Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers"
891,589,4.3,"13,391","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables",Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,"charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance","charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
662,761,4.1,"15,189","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,"ensures, high, speed, transmission, charging, offering, 3a, fast, charging, data, transmissions, rapid, sync, 480, braided, skin, makes, durable, invincible, external, damage, absolute, hassle, free, tangle, free, durable, pvc, housing, flexible, design, makes, 6, times, longer, cable, offers, perfect, meters, length, smooth, hassle, free, user, experience, superior, charging, data, transfer, compact, smooth, aluminium, connector, fits, cases, seamlessly, resists, corrosion, signal, usb, 55, cable, offers, universal, compatibility, compatible, android, smartphones, tablets, pc, peripherals, bluetooth, speakers, power, banks, game, consoles, micro, usb, enabled, years, warranty, date, purchase","ensures, high, speed, transmission, charging, offering, 3a, fast, charging, data, transmissions, rapid, sync, 480, braided, skin, makes, durable, invincible, external, damage, absolute, hassle, free, tangle, free, durable, pvc, housing, flexible, design, makes, 6, times, longer, cable, offers, perfect, meters, length, smooth, hassle, free, user, experience, superior, charging, data, transfer, compact, smooth, aluminium, connector, fits, cases, seamlessly, resists, corrosion, signal, usb, 55, cable, offers, universal, compatibility, compatible, android, smartphones, tablets, pc, peripherals, bluetooth, speakers, power, banks, game, consoles, micro, usb, enabled, years, warranty, date, purchase, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
658,897,4.2,"45,238","Electronics,HomeTheater,TV&Video,Televisions,SmartTelevisions",Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41611VFTGwL._SY300_SX300_QL70_FMwebp_.jpg,"resolution, hd, ready, 1366, x, 768, refresh, rate, 60, hertz, 178, degree, wide, viewing, 2, hdmi, ports, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, devices, mm, connect, headphones, bluetooth, connect, bluetooth, speakers, earphones, tws, 20, watts, powerful, stereo, speakers, dolby, audio, dts, virtual, x, dts, hd, dolby, atmos, pass, arc, tv, features, android, tv, 11, chromecast, built, patchwall, 4, imdb, integration, kids, mode, parental, lock, 75, free, live, channels, universal, search, language, universe, 16, languages, india, 10, miracast, supported, apps, prime, video, netflix, disney, hotstar, youtube, apple, tv, 5000, apps, play, store, auto, low, latency, mode, quad, core, processor, dual, band, wi, fi, 1, gb, ram, 8, gb, grade, led, panel, vivid, picture, engine, detailed, picture, controls, ultra, bright, screen, dynamic, contrast, dynamic, information, 1, year, comprehensive, warranty, product, 1, year, additional, panel, provided, brand, date, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description, capture, format, avi, components, led, tv, 2, table, stand, base, 1, user, manual, 1, remote, control, 4, screws, resolution, 720p","resolution, hd, ready, 1366, x, 768, refresh, rate, 60, hertz, 178, degree, wide, viewing, 2, hdmi, ports, connect, set, box, blu, ray, players, gaming, console, 2, usb, ports, connect, hard, drives, usb, devices, mm, connect, headphones, bluetooth, connect, bluetooth, speakers, earphones, tws, 20, watts, powerful, stereo, speakers, dolby, audio, dts, virtual, x, dts, hd, dolby, atmos, pass, arc, tv, features, android, tv, 11, chromecast, built, patchwall, 4, imdb, integration, kids, mode, parental, lock, 75, free, live, channels, universal, search, language, universe, 16, languages, india, 10, miracast, supported, apps, prime, video, netflix, disney, hotstar, youtube, apple, tv, 5000, apps, play, store, auto, low, latency, mode, quad, core, processor, dual, band, wi, fi, 1, gb, ram, 8, gb, grade, led, panel, vivid, picture, engine, detailed, picture, controls, ultra, bright, screen, dynamic, contrast, dynamic, information, 1, year, comprehensive, warranty, product, 1, year, additional, panel, provided, brand, date, returns, product, eligible, replacement, 10, days, delivery, case, product, defects, damage, features, matching, description, capture, format, avi, components, led, tv, 2, table, stand, base, 1, user, manual, 1, remote, control, 4, screws, resolution, 720p, Electronics,HomeTheater,TV&Video,Televisions,SmartTelevisions"
891,589,4.3,"13,391","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables",Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,"charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance","charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
1143,1179,4.3,"27,696","Electronics,WearableTechnology,SmartWatches","Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",https://m.media-amazon.com/images/I/41sHRWXCfvL._SX300_SY300_QL70_ML2_.jpg,"fire, boltt, india, 1, wearable, watch, brand, q122, idc, worldwide, quarterly, wearable, device, tracker, calling, fire, boltt, phoenix, enables, receive, calls, directly, watch, built, speaker, microphone, smartwatch, features, dial, pad, option, access, recent, calls, sync, phone, resolution, comes, tft, color, touch, screen, 240, 240, pixel, high, resolution, watch, covered, flaunt, sleek, stylish, look, sports, track, activity, effectively, smartwatch, activity, tracker, track, calories, steps, fitness, journey, fitness, tracker, built, mic, hd, calling, experience, power, packed, watch, enhance, look, wrist, attractive, colors, sleek, latest, hrs3300, technology, track, heart, rate, anytime, day, perform, activity, optical, sensors, assure, results, accurate, monitor, blood, oxygen, levels, stay, fit, mobile, phone, notifications, round, display, touch, smartwatch, late, meeting, party, enjoy, playing, games, wrist, breathe, ensure, breathing, exercise, fit, healthy, breathing, function, multiple, watch, 100, cloud, based, watch, faces, choose, match, outfit, look, day, components, 1, smartwatch, 1, manual, 1, magnetic, charger, 1, warranty, card, band, color, black, band, material, type, silicone, color, black, human, interface, input, buttons, touch, screen, case, material, type, stainless, steel, clasp, type, tang, buckle, compatible, devices, smartphone, tablet, iphone, android, disclaimer, charging, usb, needs, connected, 5v, adapter, best, battery, backup","fire, boltt, india, 1, wearable, watch, brand, q122, idc, worldwide, quarterly, wearable, device, tracker, calling, fire, boltt, phoenix, enables, receive, calls, directly, watch, built, speaker, microphone, smartwatch, features, dial, pad, option, access, recent, calls, sync, phone, resolution, comes, tft, color, touch, screen, 240, 240, pixel, high, resolution, watch, covered, flaunt, sleek, stylish, look, sports, track, activity, effectively, smartwatch, activity, tracker, track, calories, steps, fitness, journey, fitness, tracker, built, mic, hd, calling, experience, power, packed, watch, enhance, look, wrist, attractive, colors, sleek, latest, hrs3300, technology, track, heart, rate, anytime, day, perform, activity, optical, sensors, assure, results, accurate, monitor, blood, oxygen, levels, stay, fit, mobile, phone, notifications, round, display, touch, smartwatch, late, meeting, party, enjoy, playing, games, wrist, breathe, ensure, breathing, exercise, fit, healthy, breathing, function, multiple, watch, 100, cloud, based, watch, faces, choose, match, outfit, look, day, components, 1, smartwatch, 1, manual, 1, magnetic, charger, 1, warranty, card, band, color, black, band, material, type, silicone, color, black, human, interface, input, buttons, touch, screen, case, material, type, stainless, steel, clasp, type, tang, buckle, compatible, devices, smartphone, tablet, iphone, android, disclaimer, charging, usb, needs, connected, 5v, adapter, best, battery, backup, Electronics,WearableTechnology,SmartWatches"
279,356,4.4,"4,26,973","Electronics,HomeTheater,TV&Video,Accessories,Cables,HDMICables","AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,"flexible, lightweight, hdmi, cable, connecting, media, devices, playback, display, hdtvs, projectors, blu, ray, players, computers, apple, tv, roku, cable, ps4, xbox, hdmi, compatible, copper, conductors, metal, jacket, shielding, durability, high, performance, ethernet, 3d, 4k, video, audio, return, channel, arc, meets, latest, hdmi, bandwidth, 18gbps, backwards, compatible, earlier, 3, foot, cable","flexible, lightweight, hdmi, cable, connecting, media, devices, playback, display, hdtvs, projectors, blu, ray, players, computers, apple, tv, roku, cable, ps4, xbox, hdmi, compatible, copper, conductors, metal, jacket, shielding, durability, high, performance, ethernet, 3d, 4k, video, audio, return, channel, arc, meets, latest, hdmi, bandwidth, 18gbps, backwards, compatible, earlier, 3, foot, cable, Electronics,HomeTheater,TV&Video,Accessories,Cables,HDMICables"
674,1191,4.1,"18,998","Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,Smartphones","Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",https://m.media-amazon.com/images/I/41op1vdp-UL._SX300_SY300_QL70_ML2_.jpg,"6000mah, lithium, ion, battery, 1, year, manufacturer, warranty, device, 6, months, manufacturer, warranty, box, accessories, including, batteries, date, 12, gb, ram, ram, plus, 128, gb, internal, memory, expandable, dual, sim, triple, camera, true, 50mp, main, camera, 2mp, 8mp, ui, core, 4, powerful, octa, core, centimeters, inch, lcd, infinity, o, display, resolution, 1080, x, 2408, pixels, resolution, 401, ppi, 16, m, color","6000mah, lithium, ion, battery, 1, year, manufacturer, warranty, device, 6, months, manufacturer, warranty, box, accessories, including, batteries, date, 12, gb, ram, ram, plus, 128, gb, internal, memory, expandable, dual, sim, triple, camera, true, 50mp, main, camera, 2mp, 8mp, ui, core, 4, powerful, octa, core, centimeters, inch, lcd, infinity, o, display, resolution, 1080, x, 2408, pixels, resolution, 401, ppi, 16, m, color, Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,Smartphones"
210,771,3.9,"24,870","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,"fast, charging, data, sync, solero, tb301, type, c, cable, supports, fast, charge, devices, data, syncing, speed, compatibility, usb, charging, cable, connects, usb, type, c, devices, standard, usb, devices, like, laptops, hard, drives, power, banks, wall, car, chargers, etc, connector, reversible, type, usb, tough, type, c, cable, charging, cable, double, braided, exterior, premium, aramid, fiber, core, metal, plugs, passed, bending, tests, easily, withstand, daily, length, meter, long, c, type, cable, uses, nylon, material, protect, wire, avoid, fit, connectors, ptron, soler, usb, c, passed, 5, kg, load, test, swing, test, 5000, times, connect, disconnect, ensure, loose, connections","fast, charging, data, sync, solero, tb301, type, c, cable, supports, fast, charge, devices, data, syncing, speed, compatibility, usb, charging, cable, connects, usb, type, c, devices, standard, usb, devices, like, laptops, hard, drives, power, banks, wall, car, chargers, etc, connector, reversible, type, usb, tough, type, c, cable, charging, cable, double, braided, exterior, premium, aramid, fiber, core, metal, plugs, passed, bending, tests, easily, withstand, daily, length, meter, long, c, type, cable, uses, nylon, material, protect, wire, avoid, fit, connectors, ptron, soler, usb, c, passed, 5, kg, load, test, swing, test, 5000, times, connect, disconnect, ensure, loose, connections, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
